Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
The Last King of Scotland,2006,,123 min,7.7,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,,False,2025-01-21,0.0
Blazing Saddles,1974,"Comedy, Western",93 min,7.7,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Disney+,True,2023-07-23,
Ford v Ferrari,2019,"Action, Biography, Drama",152 min,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,,False,2021-08-08,0.0
12 Angry Men,1957,"Crime, Drama",,9.0,,Disney+,True,2015-06-28,
Lucky Number Slevin,2006,,110 min,7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Amazon Prime,True,2023-11-23,0.0
The Count of Monte Cristo,2002,"Action, Adventure, Drama",131 min,7.8,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Netflix,False,2017-12-19,0.0
Match Point,2005,"Drama, Romance, Thriller",124 min,7.6,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",,False,2020-09-14,15.88
The Trial of the Chicago 7,2020,"Drama, History, Thriller",129 min,7.8,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",HBO Max,True,2021-06-28,0.0
Rockstar,2011,,159 min,,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",Amazon Prime,False,,
In the Heat of the Night,1967,"Crime, Drama, Mystery",110 min,7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,,True,2023-12-28,0.0
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Disney+,False,,0.0
The Breakfast Club,1985,"Comedy, Drama",97 min,7.8,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,Amazon Prime,False,2021-03-17,
American Beauty,1999,Drama,122 min,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,HBO Max,False,2016-05-12,0.0
Abre los ojos,1997,"Drama, Mystery, Sci-Fi",119 min,,,Hulu,False,,0.0
What We Do in the Shadows,2014,"Comedy, Horror",86 min,,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",,True,,15.9
Dunkirk,2017,"Action, Drama, History",106 min,,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",,False,2019-02-02,
The Princess Bride,1987,"Adventure, Family, Fantasy",98 min,8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Disney+,False,,0.39
Iron Man,2008,"Action, Adventure, Sci-Fi",126 min,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Netflix,False,2020-08-04,0.0
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",116 min,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Netflix,True,2024-01-10,0.0
It's a Wonderful Life,1946,"Drama, Family, Fantasy",130 min,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Disney+,True,2023-01-04,9.77
Ray,2004,"Biography, Drama, Music",152 min,7.7,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Amazon Prime,,2015-08-04,0.0
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi",113 min,7.7,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",HBO Max,False,2018-09-12,0.0
Mommy,2014,Drama,139 min,8.1,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",,False,2021-09-02,
Baahubali 2: The Conclusion,2017,"Action, Drama",167 min,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Disney+,False,2019-10-28,0.0
Se7en,1995,"Crime, Drama, Mystery",,8.6,,,,,
Nelyubov,2017,Drama,127 min,7.6,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Amazon Prime,True,,3.61
How to Train Your Dragon,2010,"Animation, Action, Adventure",98 min,8.1,,,False,2023-10-17,0.0
The Wrestler,2008,"Drama, Sport",109 min,7.9,,Disney+,True,2020-11-16,0.0
Zwartboek,2006,"Drama, Thriller, War",145 min,7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",,False,2021-02-24,0.0
The Incredibles,2004,"Animation, Action, Adventure",115 min,8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Disney+,True,2020-12-02,2.46
Cool Hand Luke,1967,"Crime, Drama",127 min,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",,True,,0.0
Papillon,1973,"Biography, Crime, Drama",151 min,8.0,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Hulu,True,2023-11-05,0.0
Dip huet seung hung,1989,"Action, Crime, Drama",111 min,7.8,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,HBO Max,False,2020-06-14,
Sling Blade,1996,Drama,135 min,,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Netflix,,2016-10-12,0.0
Big Hero 6,2014,"Animation, Action, Adventure",102 min,7.8,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",Netflix,True,2022-03-13,0.7
Life of Pi,2012,,127 min,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Hulu,True,2024-12-20,
Mandariinid,2013,"Drama, War",87 min,8.2,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Netflix,True,2023-07-21,0.0
Django Unchained,2012,,165 min,8.4,,Netflix,False,2025-01-08,0.0
Captain Fantastic,2016,"Comedy, Drama",118 min,7.9,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",HBO Max,False,2020-03-06,
Cast Away,2000,,143 min,7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Amazon Prime,True,2017-10-19,
Chhichhore,2019,"Comedy, Drama",143 min,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",,,2020-07-17,0.0
The Little Mermaid,1989,"Animation, Family, Fantasy",83 min,7.6,,HBO Max,True,2022-09-08,10.38
True Romance,1993,"Crime, Drama, Romance",119 min,7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Hulu,False,2023-06-04,13.18
The Verdict,1982,Drama,,7.7,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,,False,2019-09-09,
Sense and Sensibility,1995,,136 min,7.6,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",,,2016-12-24,0.0
3 Idiots,2009,"Comedy, Drama",170 min,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",,,2021-07-03,0.0
Hamlet,1996,Drama,242 min,7.7,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",,False,2019-04-28,
The Matrix,1999,"Action, Sci-Fi",136 min,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Netflix,True,,7.04
"Swades: We, the People",2004,Drama,,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Netflix,True,2017-05-30,0.0
American History X,1998,Drama,119 min,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,,False,2017-02-20,0.0
"4 luni, 3 saptamâni si 2 zile",2007,Drama,113 min,7.9,,,True,,
Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance",137 min,8.0,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Hulu,,2017-05-08,4.74
Dial M for Murder,1954,,105 min,8.2,A former tennis player tries to arrange his wife's murder after learning of her affair.,Disney+,True,2019-07-23,
This Is England,2006,"Crime, Drama",101 min,7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",HBO Max,False,2017-08-10,0.0
Rush,2013,"Action, Biography, Drama",123 min,,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,,True,2023-03-30,19.14
Road to Perdition,2002,"Crime, Drama, Thriller",117 min,7.7,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",,True,2025-02-06,0.0
City Lights,1931,"Comedy, Drama, Romance",87 min,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",HBO Max,False,2019-04-06,0.0
Searching,2018,"Drama, Mystery, Thriller",,7.6,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Amazon Prime,True,2021-06-03,0.0
Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller",150 min,8.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Hulu,,2016-11-10,0.0
The Social Network,2010,"Biography, Drama",120 min,,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",Netflix,True,2017-06-20,0.0
Frankenstein,1931,,70 min,,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,Hulu,,,0.0
Get Out,2017,"Horror, Mystery, Thriller",104 min,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Amazon Prime,True,2016-08-01,0.0
The Man Who Shot Liberty Valance,1962,"Drama, Western",123 min,8.1,,HBO Max,True,,0.0
Guess Who's Coming to Dinner,1967,"Comedy, Drama",,7.8,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,,False,2016-06-21,8.0
"Crna macka, beli macor",1998,"Comedy, Crime, Romance",127 min,8.1,,Hulu,False,2015-08-19,0.0
En man som heter Ove,2015,"Comedy, Drama, Romance",116 min,7.7,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Disney+,,2022-04-19,0.0
All Quiet on the Western Front,1930,"Drama, War",152 min,8.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",HBO Max,True,2016-12-24,0.0
Arsenic and Old Lace,1942,"Comedy, Crime, Thriller",118 min,8.0,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,,True,,0.0
Giant,1956,,,7.6,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,Amazon Prime,False,2023-02-13,0.0
Il postino,1994,"Biography, Comedy, Drama",108 min,7.7,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Netflix,True,,0.0
The Birds,1963,"Drama, Horror, Mystery",119 min,7.7,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,HBO Max,False,2024-06-07,19.9
"Paris, Texas",1984,Drama,145 min,8.1,,,False,2018-01-09,
Haider,2014,,160 min,8.1,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Hulu,True,2018-10-26,0.0
"Lock, Stock and Two Smoking Barrels",1998,,107 min,8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Disney+,True,2024-09-04,0.0
High Noon,1952,"Drama, Thriller, Western",85 min,7.9,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Amazon Prime,True,2017-07-07,0.0
The Theory of Everything,2014,"Biography, Drama, Romance",123 min,7.7,A look at the relationship between the famous physicist Stephen Hawking and his wife.,HBO Max,True,2017-02-22,12.09
Beauty and the Beast,1991,"Animation, Family, Fantasy",84 min,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Netflix,False,,0.0
Bonnie and Clyde,1967,"Action, Biography, Crime",111 min,7.8,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",HBO Max,False,,0.0
Arrival,2016,"Drama, Sci-Fi",116 min,7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,Netflix,False,2016-10-25,8.67
The Last of the Mohicans,1992,"Action, Adventure, Drama",,7.7,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Amazon Prime,True,,0.0
Tangled,2010,"Animation, Adventure, Comedy",100 min,,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",,,2023-08-19,0.0
Idi i smotri,1985,"Drama, Thriller, War",,8.3,,HBO Max,True,2021-07-17,
A Night at the Opera,1935,"Comedy, Music, Musical",96 min,7.9,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,,True,2019-11-05,0.0
The Iron Giant,1999,"Animation, Action, Adventure",86 min,,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,HBO Max,False,2017-09-08,0.0
The Godfather,1972,"Crime, Drama",175 min,9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,,False,2015-11-23,0.0
The Station Agent,2003,,89 min,7.6,,HBO Max,False,2024-10-25,
Mad Max 2,1981,"Action, Adventure, Sci-Fi",96 min,7.6,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.",HBO Max,False,2018-09-12,0.0
The Lost Weekend,1945,"Drama, Film-Noir",101 min,,,,True,2022-05-19,0.0
Paths of Glory,1957,"Drama, War",,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",,False,2022-05-25,0.0
Soul,2020,"Animation, Adventure, Comedy",,8.1,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Hulu,True,,0.0
Whiplash,2014,"Drama, Music",106 min,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,HBO Max,False,2023-01-04,4.51
Crash,2004,"Crime, Drama, Thriller",112 min,,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",,False,2024-08-30,0.0
Hable con ella,2002,"Drama, Mystery, Romance",112 min,7.9,Two men share an odd friendship while they care for two women who are both in deep comas.,Amazon Prime,True,2022-04-02,
The Graduate,1967,"Comedy, Drama, Romance",106 min,8.0,A disillusioned college graduate finds himself torn between his older lover and her daughter.,HBO Max,,,7.57
The Best Years of Our Lives,1946,"Drama, Romance, War",170 min,8.0,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,,True,2018-03-25,0.0
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",127 min,8.0,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Disney+,True,2021-04-03,3.51
Miracle in cell NO.7,2019,,132 min,8.3,,Amazon Prime,True,,6.13
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",121 min,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Hulu,True,2016-06-05,9.79
Philomena,2013,"Biography, Comedy, Drama",98 min,7.6,,,True,2017-12-25,0.0
The Adventures of Robin Hood,1938,"Action, Adventure, Romance",102 min,,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",,False,2017-06-26,17.3
Tropa de Elite 2: O Inimigo Agora é Outro,2010,"Action, Crime, Drama",115 min,,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Disney+,,2022-05-02,
Kung fu,2004,"Action, Comedy, Fantasy",99 min,7.7,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Netflix,False,2018-10-26,0.0
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",111 min,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Amazon Prime,,2020-12-27,3.41
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",179 min,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",,False,2021-08-12,7.79
La Grande Illusion,1937,"Drama, War",113 min,,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Netflix,True,2015-06-17,0.0
The Big Short,2015,"Biography, Comedy, Drama",130 min,7.8,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,,True,2024-06-07,19.35
Festen,1998,Drama,,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",,,2018-04-09,0.0
Fitzcarraldo,1982,"Adventure, Drama",,8.1,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Netflix,True,2021-05-21,0.0
Andaz Apna Apna,1994,"Action, Comedy, Romance",160 min,8.2,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Disney+,True,2019-05-21,9.53
First Blood,1982,"Action, Adventure",93 min,7.7,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,HBO Max,,2020-05-04,0.0
The Jungle Book,1967,"Animation, Adventure, Family",78 min,7.6,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Amazon Prime,False,2022-02-15,0.0
Todo sobre mi madre,1999,Drama,101 min,7.8,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",,False,2019-03-15,0.0
Philadelphia,1993,Drama,125 min,7.7,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Disney+,False,2024-02-23,0.0
The Irishman,2019,"Biography, Crime, Drama",209 min,7.9,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",Disney+,False,2019-08-21,
Blood Simple,1984,"Crime, Drama, Thriller",,7.6,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",Netflix,True,2016-07-08,0.0
Gegen die Wand,2004,"Drama, Romance",121 min,7.9,,Disney+,True,2018-12-30,1.06
The Last Emperor,1987,"Biography, Drama, History",163 min,7.7,The story of the final Emperor of China.,Netflix,,2022-07-13,19.48
Catch Me If You Can,2002,"Biography, Crime, Drama",141 min,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Disney+,False,,4.98
King Kong,1933,"Adventure, Horror, Sci-Fi",100 min,7.9,,HBO Max,False,2019-09-03,
Fantasia,1940,"Animation, Family, Fantasy",125 min,,A collection of animated interpretations of great works of Western classical music.,,False,,3.66
The Philadelphia Story,1940,,112 min,7.9,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Hulu,False,2016-08-24,
The Right Stuff,1983,"Adventure, Biography, Drama",193 min,7.8,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Disney+,True,2018-10-14,0.0
Rashômon,1950,"Crime, Drama, Mystery",,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Disney+,True,2016-04-11,
Man on Fire,2004,"Action, Crime, Drama",146 min,7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Disney+,True,2019-04-02,
Midnight Cowboy,1969,Drama,113 min,,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",,True,2016-02-13,17.62
Jojo Rabbit,2019,"Comedy, Drama, War",108 min,7.9,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,,True,2016-06-16,6.1
The Goonies,1985,"Adventure, Comedy, Family",114 min,7.8,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Amazon Prime,False,,18.94
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",115 min,7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",,,2016-07-26,0.0
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",117 min,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",HBO Max,True,,0.0
Nightcrawler,2014,,117 min,,,Netflix,True,2021-07-04,0.0
The Big Sleep,1946,,,7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",,True,2019-06-29,0.0
The Dirty Dozen,1967,"Action, Adventure, War",150 min,7.7,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",HBO Max,True,,18.89
Beasts of No Nation,2015,"Drama, War",137 min,7.7,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Amazon Prime,False,2018-10-01,0.0
The Big Lebowski,1998,"Comedy, Crime, Sport",117 min,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Amazon Prime,,2022-09-22,0.0
Interstellar,2014,,169 min,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,,False,2016-02-28,11.08
Mr. Smith Goes to Washington,1939,"Comedy, Drama",,,,Hulu,,2024-07-04,0.0
La règle du jeu,1939,"Comedy, Drama",110 min,,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",,False,2022-01-06,19.23
Hera Pheri,2000,,,8.2,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Hulu,False,2021-09-14,0.0
The Elephant Man,1980,"Biography, Drama",124 min,8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",,False,2016-07-04,0.0
The Thin Red Line,1998,"Drama, War",,7.6,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",Hulu,False,2023-09-25,9.59
The Treasure of the Sierra Madre,1948,,126 min,,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Amazon Prime,False,2024-11-20,0.0
The Straight Story,1999,"Biography, Drama",112 min,8.0,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,Hulu,True,2025-01-29,17.75
Being John Malkovich,1999,"Comedy, Drama, Fantasy",113 min,7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Netflix,True,2016-02-25,
Being There,1979,"Comedy, Drama",130 min,8.0,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Hulu,False,2021-06-15,0.0
Boyhood,2014,Drama,165 min,7.9,"The life of Mason, from early childhood to his arrival at college.",Hulu,True,2016-09-28,0.0
The Revenant,2015,"Action, Adventure, Drama",156 min,8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Amazon Prime,False,,14.91
Joyeux Noël,2005,"Drama, History, Music",116 min,7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Disney+,True,2024-02-10,14.04
White Heat,1949,,114 min,8.1,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Netflix,True,2017-04-05,
The Remains of the Day,1993,"Drama, Romance",134 min,7.8,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,Amazon Prime,True,,19.01
K.G.F: Chapter 1,2018,"Action, Drama",156 min,8.2,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Disney+,True,2017-11-22,17.6
The Fugitive,1993,"Action, Crime, Drama",130 min,7.8,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",,False,,
The Quiet Man,1952,"Comedy, Drama, Romance",129 min,7.7,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Netflix,True,2021-04-09,
Good Will Hunting,1997,"Drama, Romance",126 min,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",HBO Max,True,2019-08-30,0.0
Mar adentro,2014,"Biography, Drama",126 min,8.0,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",Netflix,,2017-06-09,13.48
Drishyam,2013,"Crime, Drama, Thriller",160 min,8.3,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,HBO Max,False,2016-01-06,10.47
The Wizard of Oz,1939,"Adventure, Family, Fantasy",102 min,8.0,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,,,2016-11-12,0.0
Zootopia,2016,,108 min,8.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",,True,2019-06-12,0.0
Barfi!,2012,"Comedy, Drama, Romance",,,,Netflix,False,2022-05-04,10.27
